priority_score,source_id,source_name,filename,page,year,region,country,metric,value,unit,scenario,quote,note,confidence,candidate_id,promote,reviewer,review_note,corrected_year,corrected_region,corrected_country,corrected_metric,corrected_value,corrected_unit,corrected_scenario,corrected_confidence
133,energyandai,Energy and AI,EnergyandAI.pdf,86,2030,global,,data_center_electricity_demand_twh,1300.0,TWh,base,"vel to better assess the balance of the variability. 2.5.3 Electricity supply in the Base Case Global electricity generation to supply data centres is projected to grow from 460 TWh in 2024 to over 1 000 TWh in 2030 and 1 300 TWh in 2035 in the Base Case. Renewables meet nearly half of the additional demand to 2030, followed by natural gas and coal, with nuclear starting to play an increasingly important beyond 2030 (Figure 2.20). Figure 2.20 Gl",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_86_2030_global_data_center_electricity_demand_twh_13_9adf7dc833,,,,,,,,,,,
128,global_electricity_review_2026,Global Electricity,Global-Electricity-Review-2026.pdf,54,2030,global,,data_center_electricity_demand_twh,950.0,TWh,high,"ase in demand in 2025, though uncertainty around this estimate remains high. The IEA’s forecast expects data centre demand to grow four times faster than overall electricity demand, from around 500 TWh in 2025 to around 950 TWh in 2030. However, even at this rapid pace, data centres would account for less than 3% of global electricity demand by 2030, though regional impacts will differ significantly. China led global demand growth in 2025, for",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,global_electricity_review_2026_54_2030_global_data_center_electr_80b68931d3,,,,,,,,,,,
125,energyandai,Energy and AI,EnergyandAI.pdf,86,2024,global,,data_center_electricity_demand_twh,460.0,TWh,base,"ould also be analysed at the broader system level to better assess the balance of the variability. 2.5.3 Electricity supply in the Base Case Global electricity generation to supply data centres is projected to grow from 460 TWh in 2024 to over 1 000 TWh in 2030 and 1 300 TWh in 2035 in the Base Case. Renewables meet nearly half of the additional demand to 2030, followed by natural gas and coal, with nuclear starting to play an increasingly imp",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_86_2024_global_data_center_electricity_demand_twh_46_8cf63478f2,,,,,,,,,,,
123,energyandai,Energy and AI,EnergyandAI.pdf,64,2030,global,,data_center_electricity_demand_twh,240.0,TWh,estimate,"Malaysia (Johor province). China and the United States are the most significant regions for data centre electricity consumption growth, accounting for nearly 80% of global growth to 2030. Consumption increases by around 240 TWh (up 130%) in the United States, compared to the 2024 level (Figure 2.12). In China it increases by around 175 TWh (up 170%). In Europe it grows by more than 45 TWh (up 70%). Japan increases by around 15 TWh (up 80%). Co",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_64_2030_global_data_center_electricity_demand_twh_24_f3543a3e98,,,,,,,,,,,
120,energyandai,Energy and AI,EnergyandAI.pdf,91,2035,global,,data_center_electricity_demand_twh,790.0,TWh,base,"entre- related electricity generation grows more slowly than in the Base Case. In the High Efficiency Case it rises to about 1 100 TWh by 2035, more than 15% lower than in the Base Case. In the Headwinds Case it reaches 790 TWh, more than 40% lower than in the Base Case. In both of these cases, renewables meet 55% or more of the increase in data centre electricity demand to 2035, compared with around 50% in the Base Case, although in both case",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_91_2035_global_data_center_electricity_demand_twh_79_0abad80cb3,,,,,,,,,,,
115,energyandai,Energy and AI,EnergyandAI.pdf,86,2024,global,,data_center_electricity_demand_twh,1000.0,TWh,base,"the broader system level to better assess the balance of the variability. 2.5.3 Electricity supply in the Base Case Global electricity generation to supply data centres is projected to grow from 460 TWh in 2024 to over 1 000 TWh in 2030 and 1 300 TWh in 2035 in the Base Case. Renewables meet nearly half of the additional demand to 2030, followed by natural gas and coal, with nuclear starting to play an increasingly important beyond 2030 (Figure",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_86_2024_global_data_center_electricity_demand_twh_10_216c404d7b,,,,,,,,,,,
115,energyandai,Energy and AI,EnergyandAI.pdf,64,2024,,United States,data_center_electricity_demand_twh,15.0,TWh,low,"s by around 240 TWh (up 130%) in the United States, compared to the 2024 level (Figure 2.12). In China it increases by around 175 TWh (up 170%). In Europe it grows by more than 45 TWh (up 70%). Japan increases by around 15 TWh (up 80%). Comparing data centre electricity consumption normalised per capita can give a sense of the importance of this sector in different economies. Africa has the lowest consumption at less than 1 kWh of data centre",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_64_2024_united_states_data_center_electricity_demand_d89162aac0,,,,,,,,,,,
115,energyandai,Energy and AI,EnergyandAI.pdf,64,2024,global,,data_center_electricity_demand_twh,45.0,TWh,low,"global growth to 2030. Consumption increases by around 240 TWh (up 130%) in the United States, compared to the 2024 level (Figure 2.12). In China it increases by around 175 TWh (up 170%). In Europe it grows by more than 45 TWh (up 70%). Japan increases by around 15 TWh (up 80%). Comparing data centre electricity consumption normalised per capita can give a sense of the importance of this sector in different economies. Africa has the lowest co",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_64_2024_global_data_center_electricity_demand_twh_45_5bc4599560,,,,,,,,,,,
115,energyandai,Energy and AI,EnergyandAI.pdf,64,2024,global,,data_center_electricity_demand_twh,175.0,TWh,estimate,"y consumption growth, accounting for nearly 80% of global growth to 2030. Consumption increases by around 240 TWh (up 130%) in the United States, compared to the 2024 level (Figure 2.12). In China it increases by around 175 TWh (up 170%). In Europe it grows by more than 45 TWh (up 70%). Japan increases by around 15 TWh (up 80%). Comparing data centre electricity consumption normalised per capita can give a sense of the importance of this secto",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_64_2024_global_data_center_electricity_demand_twh_17_9f7bbcac1f,,,,,,,,,,,
115,energyandai,Energy and AI,EnergyandAI.pdf,57,2024,global,,data_center_electricity_demand_twh,180.0,TWh,historical,"or around 85% of global electricity consumption from data centres today. In the United States, electricity consumption from data centres grew by around 12% a year between 2015 and 2024. Data centres accounted for around 180 TWh of electricity consumption in 2024 in the United States, nearly 45% of the global total and more than 4% of US electricity consumption from all sources (Figure 2.6). In China, the data centre sector started to expand si",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_57_2024_global_data_center_electricity_demand_twh_18_f2a132e72a,,,,,,,,,,,
115,energyandai,Energy and AI,EnergyandAI.pdf,49,2035,global,,data_center_electricity_demand_twh,670.0,TWh,low,"consumption reaches over 1 260 TWh by 2030. The High | Efficiency Case is driven by energy savings in both software and hardware; | consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches | around 670 TWh. By 2035, the spread of uncertainty widens further, spanning | 700 TWh to 1 720 TWh across the four cases. | • Natural gas generation to meet data centre demand increases by around 175 TWh | from today’s level to 2035 i",Extracted from table; review source page before publication. Review reason: scenario_or_range_value,medium,energyandai_49_2035_global_data_center_electricity_demand_twh_67_ec02a3b962,,,,,,,,,,,
115,energyandai,Energy and AI,EnergyandAI.pdf,49,2035,global,,data_center_electricity_demand_twh,670.0,TWh,low,"case, consumption reaches over 1 260 TWh by 2030. The High Efficiency Case is driven by energy savings in both software and hardware; consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches around 670 TWh. By 2035, the spread of uncertainty widens further, spanning 700 TWh to 1 720 TWh across the four cases. • Natural gas generation to meet data centre demand increases by around 175 TWh from today’s level to 2035 in the",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_49_2035_global_data_center_electricity_demand_twh_67_5fee7c63a0,,,,,,,,,,,
110,worldenergyoutlook2025,World Energy,WorldEnergyOutlook2025.pdf,366,2035,global,,data_center_electricity_demand_twh,640.0,TWh,estimate,"In the CPS, electricity generation to supply data centres more than triples from around 200 terawatt-hours (TWh) today to 640 TWh by 2035 (Figure 8.7). Natural gas-fired generation increases the most of any source to meet new data centre demand, rising 260 TWh to 2035, much of it before 2030. This increase reflects continued growth for natural gas",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,worldenergyoutlook2025_366_2035_global_data_center_electricity_d_8cdc30ed81,,,,,,,,,,,
110,worldenergyoutlook2025,World Energy,WorldEnergyOutlook2025.pdf,366,2035,global,,data_center_electricity_demand_twh,640.0,TWh,estimate,"In the CPS, electricity generation to supply data centres more than triples from around | 200 terawatt-hours (TWh) today to 640 TWh by 2035 (Figure 8.7). Natural gas-fired | generation increases the most of any source to meet new data centre demand, rising | 260 TWh to 2035, much of it before 2030. This increase reflects continued growth for | natur",Extracted from table; review source page before publication. Review reason: scenario_or_range_value,medium,worldenergyoutlook2025_366_2035_global_data_center_electricity_d_571fa28fb2,,,,,,,,,,,
110,energyandai,Energy and AI,EnergyandAI.pdf,71,2015,global,,data_center_electricity_demand_twh,440.0,TWh,historical,"al electricity use (Figure 2.15). Telecommunication networks, including fixed and mobile access and core networks, consumed around 280 TWh, while personal computers, mobile phones and other connected devices used around 440 TWh. Figure 2.15 Global electricity demand from data centres, data transmission networks, devices and cryptocurrency mining, 2015-2023 ⊳ 500 400 300 200 100 IEA. CC BY 4.0. Energy use by data centres and cryptocurrencies ha",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_71_2015_global_data_center_electricity_demand_twh_44_97c613d391,,,,,,,,,,,
110,energyandai,Energy and AI,EnergyandAI.pdf,68,2035,global,,data_center_electricity_demand_twh,970.0,TWh,base,"y than in the Base Case, but one that still meets the same service demand. In aggregate, the High Efficiency Case unlocks energy savings of more than 15%, with global electricity demand from data centres reaching around 970 TWh by 2035. As a result, 2.6% of global electricity demand goes to data centres. Headwinds Case In this case, service demand does not grow as fast as in other scenarios, and AI sees a slower uptake. Difficulties in monetis",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_68_2035_global_data_center_electricity_demand_twh_97_11d2397635,,,,,,,,,,,
108,worldenergyoutlook2025,World Energy,WorldEnergyOutlook2025.pdf,404,2030,global,,data_center_electricity_demand_twh,10.0,TWh,estimate,"emand growth, which would otherwise rise to about 6% per year. Non-energy-intensive industries account for more than 25% of the electricity demand growth to 2035. Annual demand from data centres increases from just over 10 TWh today to 25 TWh by 2030. Much of the data centre demand is concentrated in Singapore and the Johor province of Malaysia. Figure 8.37 Electricity demand by sector and drivers of growth in Southeast Asia in the STEPS, 201",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,worldenergyoutlook2025_404_2030_global_data_center_electricity_d_01e8c99ca2,,,,,,,,,,,
108,energyandai,Energy and AI,EnergyandAI.pdf,66,2030,global,,data_center_electricity_demand_twh,1500.0,TWh,base,"e 2.13 Increase in electricity demand by sector in the Base Case, 2024-2030 ⊳ Industry excl. heavy industry Electric transport Appliances Space cooling Data centres Space and water heating Heavy industry Other 500 1 000 1 500 TWh IEA. CC BY 4.0. Data centres contribute more to global electricity demand growth than heavy industry or space and water heating 2.3.2 Outlook in the sensitivity cases In this section, we present the results of our longe",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_66_2030_global_data_center_electricity_demand_twh_15_f9cb442240,,,,,,,,,,,
103,energyandai,Energy and AI,EnergyandAI.pdf,49,2030,global,,total_electricity_demand_twh,1260.0,TWh,low,"r | less than 10% of the growth in global electricity consumption to 2030. | • The Lift-Off Case assumes stronger AI uptake and limited local constraints on data | centre buildout. In this case, consumption reaches over 1 260 TWh by 2030. The High | Efficiency Case is driven by energy savings in both software and hardware; | consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches | around 670 TWh. By 2035, the spread of unc",Extracted from table; review source page before publication. Review reason: scenario_or_range_value,medium,energyandai_49_2030_global_total_electricity_demand_twh_1260_0_t_ddeaa0f701,,,,,,,,,,,
100,worldenergyoutlook2025,World Energy,WorldEnergyOutlook2025.pdf,366,2035,global,,data_center_electricity_demand_twh,260.0,TWh,estimate,"n to supply data centres more than triples from around 200 terawatt-hours (TWh) today to 640 TWh by 2035 (Figure 8.7). Natural gas-fired generation increases the most of any source to meet new data centre demand, rising 260 TWh to 2035, much of it before 2030. This increase reflects continued growth for natural gas and is largely achieved by operating existing, grid-connected gas-fired power plants more often. Some developers also plan to co-l",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,worldenergyoutlook2025_366_2035_global_data_center_electricity_d_9e8d4cfb28,,,,,,,,,,,
100,global_electricity_review_2026,Global Electricity,Global-Electricity-Review-2026.pdf,85,2024,,United States,data_center_electricity_demand_twh,132.0,TWh,estimate,"Electricity demand in the US grew by 3% (+131 TWh) in 2025, similar to growth in 2024 (+132 TWh, +3.1%). This is well above the average annual growth of 0.6% recorded over the previous decade (2015-2024). The increase was partly driven by the rapid expansion of data centres, which are projected to account for arou",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,global_electricity_review_2026_85_2024_united_states_data_center_e6d83dc5eb,,,,,,,,,,,
100,global_electricity_review_2026,Global Electricity,Global-Electricity-Review-2026.pdf,54,2024,global,,data_center_electricity_demand_twh,46.0,TWh,estimate,"shifts only have a moderate impact on electricity demand. In 2025, record growth in electric vehicle sales and usage contributed roughly 8% (+66 TWh) of the global increase in demand – up from 46 TWh in 2024. Data centres are also expected to become a significant contributor to global electricity demand growth in the coming years. International Energy Agency (IEA) projections suggest data centres likely added around",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,global_electricity_review_2026_54_2024_global_data_center_electr_554427c793,,,,,,,,,,,
100,energyandai,Energy and AI,EnergyandAI.pdf,71,2023,global,,data_center_electricity_demand_twh,280.0,TWh,historical,"CT sector electricity use, estimated at over 1 000 TWh2 in 2023, equivalent to 4% of global electricity use (Figure 2.15). Telecommunication networks, including fixed and mobile access and core networks, consumed around 280 TWh, while personal computers, mobile phones and other connected devices used around 440 TWh. Figure 2.15 Global electricity demand from data centres, data transmission networks, devices and cryptocurrency mining, 2015-2023",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_71_2023_global_data_center_electricity_demand_twh_28_bd700936f3,,,,,,,,,,,
100,energyandai,Energy and AI,EnergyandAI.pdf,67,2035,global,,data_center_electricity_demand_twh,1700.0,TWh,base,"deployed for this purpose in the Lift-Off Case (see section 2.5.4). 2 The Lift-Off Case trajectory sees global electricity demand from data centres in 2035 that is around 45% higher than in the Base Case, exceeding the 1 700 TWh mark and reaching 4.4% of global electricity demand (Figure 2.14). Figure 2.14 Global data centre electricity consumption by sensitivity case, 2020-2035 ⊳ 2 000 Exploration 1 500 1 000 500 2020 2025 2030 2035 IEA. CC BY",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_67_2035_global_data_center_electricity_demand_twh_17_f5c30660ed,,,,,,,,,,,
100,energyandai,Energy and AI,EnergyandAI.pdf,60,2024,global,,data_center_electricity_demand_twh,250.0,TWh,historical,"l growth in electricity consumption between 2014 and 2024. However, other drivers, such as growing appliance adoption in buildings and industrial electrification, were more significant. Data centres accounted for around 250 TWh of incremental electricity consumption in this period, roughly equivalent to the electricity demand of Spain. In comparison, the electricity consumption of space cooling grew by around 700 TWh (Figure 2.8). Figure 2.8 I",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_60_2024_global_data_center_electricity_demand_twh_25_df5b76df96,,,,,,,,,,,
100,energyandai,Energy and AI,EnergyandAI.pdf,60,2024,global,,data_center_electricity_demand_twh,2000.0,TWh,base,"Increase in electricity demand by sector in the Base Case, 2014-2024 ⊳ Industry excl. heavy industry Appliances Space cooling Heavy industry Space and water heating Electric transport Data centres Other 500 1 000 1 500 2 000 TWh IEA. CC BY 4.0. Over the past decade, growth in electricity demand for data centres increased by almost as much as for transport All historical data are estimates, not measurements Currently, very few governments mandat",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_60_2024_global_data_center_electricity_demand_twh_20_1d781c6fd6,,,,,,,,,,,
100,energyandai,Energy and AI,EnergyandAI.pdf,58,2024,global,,data_center_electricity_demand_twh,70.0,TWh,low,"extent, by China Data centres account for slightly less than 2% of Europe’s electricity consumption, a share that is higher than China’s (1.1%). However, in absolute terms, Europe’s consumption is lower, at an estimated 70 TWh in 2024. Europe’s share of the global electricity consumption of data centres has decreased over the past decade but still represents slightly above 15%. In Japan, we estimate that data centres account for less than 20",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_58_2024_global_data_center_electricity_demand_twh_70_af10921756,,,,,,,,,,,
100,energyandai,Energy and AI,EnergyandAI.pdf,58,2024,global,,data_center_electricity_demand_twh,20.0,TWh,historical,"TWh in 2024. Europe’s share of the global electricity consumption of data centres has decreased over the past decade but still represents slightly above 15%. In Japan, we estimate that data centres account for less than 20 TWh of electricity consumption (about 2% of Japan’s total consumption, on a par with Europe). We estimate that data centres account for around 9 TWh of consumption in India (Box 2.2), or about 0.5% of total consumption. How",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_58_2024_global_data_center_electricity_demand_twh_20_581db0be93,,,,,,,,,,,
100,energyandai,Energy and AI,EnergyandAI.pdf,57,2015,global,,data_center_electricity_demand_twh,100.0,TWh,historical,"15 and 2024, more than twice the rate seen between 2005 and 2015. Over the same period, electricity consumption across all sectors grew at an annual rate of around 7%. As of today, data centres account for approximately 100 TWh of electricity consumption, roughly equivalent to that of electric vehicles in China. The country accounts for around 25% of global data centre electricity consumption, up from less than 20% a decade ago. However, subst",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_57_2015_global_data_center_electricity_demand_twh_10_df4c988cba,,,,,,,,,,,
100,energyandai,Energy and AI,EnergyandAI.pdf,48,2023,global,,data_center_electricity_demand_twh,90.0,TWh,base,"enerative AI would it take to consume 100 TWh of electricity? For reference, in 2023, the largest four hyperscalers (Google, Amazon, Meta and Microsoft) had a combined data centre electricity consumption in the order of 90 TWh.  A large language model, with optimised implementation, could generate more than 4 250 trillion words of output with 100 TWh of input. For comparison, this is equivalent to around 110 million copies of the Encyclopaed",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_48_2023_global_data_center_electricity_demand_twh_90_35a3915e49,,,,,,,,,,,
100,energyandai,Energy and AI,EnergyandAI.pdf,48,2023,global,,data_center_electricity_demand_twh,90.0,TWh,base,"ive AI would it take to consume | 100 TWh of electricity? For reference, in 2023, the largest four hyperscalers (Google, | Amazon, Meta and Microsoft) had a combined data centre electricity consumption in the | order of 90 TWh. |  A large language model, with optimised implementation, could generate more than | 4 250 trillion words of output with 100 TWh of input. For comparison, this is | equivalent to around 110 million copies of the Encyc",Extracted from table; review source page before publication. Review reason: scenario_or_range_value,medium,energyandai_48_2023_global_data_center_electricity_demand_twh_90_0d024a860e,,,,,,,,,,,
100,energyandai,Energy and AI,EnergyandAI.pdf,48,2023,global,,data_center_electricity_demand_twh,100.0,TWh,base,"om data centres, driven in particular by AI, is | projected to grow by several hundred TWh (see Chapter 2). This box tries to answer the | question: how much inference demand for generative AI would it take to consume | 100 TWh of electricity? For reference, in 2023, the largest four hyperscalers (Google, | Amazon, Meta and Microsoft) had a combined data centre electricity consumption in the | order of 90 TWh. |  A large language model, with",Extracted from table; review source page before publication. Review reason: scenario_or_range_value,medium,energyandai_48_2023_global_data_center_electricity_demand_twh_10_f90afa8243,,,,,,,,,,,
100,energyandai,Energy and AI,EnergyandAI.pdf,48,2023,global,,data_center_electricity_demand_twh,100.0,TWh,base,"and from data centres, driven in particular by AI, is projected to grow by several hundred TWh (see Chapter 2). This box tries to answer the question: how much inference demand for generative AI would it take to consume 100 TWh of electricity? For reference, in 2023, the largest four hyperscalers (Google, Amazon, Meta and Microsoft) had a combined data centre electricity consumption in the order of 90 TWh.  A large language model, with optimi",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_48_2023_global_data_center_electricity_demand_twh_10_bc237529b4,,,,,,,,,,,
100,energyandai,Energy and AI,EnergyandAI.pdf,15,2035,global,,data_center_electricity_demand_twh,1700.0,TWh,base,"AI- related hardware and AI models. In this case, electricity demand from data centres is 20% lower in 2035 than in the Base Case. By 2035, the range of data centre electricity demand across our cases spans from 700 to 1 700 TWh. The increase in gas-fired power to meet data Executive Summary 15 .0.4 YB CC .AEI",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_15_2035_global_data_center_electricity_demand_twh_17_2ebac2449e,,,,,,,,,,,
100,energyandai,Energy and AI,EnergyandAI.pdf,14,2035,global,,data_center_electricity_demand_twh,1200.0,TWh,base,"production of aluminium, steel, cement, chemicals and all other energy-intensive goods combined. Uncertainties widen further after 2030, but our Base Case sees global data centre electricity consumption rising to around 1 200 TWh by 2035. A diverse range of sources will be needed to meet demand Renewables and natural gas take the lead in meeting data centre electricity demand, but a range of sources are poised to contribute. Half of the global g",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_14_2035_global_data_center_electricity_demand_twh_12_bf0f73de0e,,,,,,,,,,,
95,energyandai,Energy and AI,EnergyandAI.pdf,77,2024,global,,data_center_power_demand_gw,60.0,GW,estimate,"res account for over 30% of this capacity. In | 2024, technology companies’ renewables PPAs were sufficient to cover roughly 20% of | the estimated 415 TWh of global electricity demand from data centres. | An additional 60 GW of PPA-related capacity is currently under development – meaning | projects for which financing and/or permits have been secured or which are under",Extracted from table; review source page before publication. Review reason: scenario_or_range_value,medium,energyandai_77_2024_global_data_center_power_demand_gw_60_0_gw_e_f7461be1ec,,,,,,,,,,,
95,energyandai,Energy and AI,EnergyandAI.pdf,77,2024,global,,data_center_power_demand_gw,60.0,GW,estimate,"a centres account for over 30% of this capacity. In 2024, technology companies’ renewables PPAs were sufficient to cover roughly 20% of the estimated 415 TWh of global electricity demand from data centres. An additional 60 GW of PPA-related capacity is currently under development – meaning projects for which financing and/or permits have been secured or which are under Chapter 2 | Energy for AI 77 .0.4 YB CC .AEI",Extracted from text; review source page before publication. Review reason: scenario_or_range_value,low,energyandai_77_2024_global_data_center_power_demand_gw_60_0_gw_e_85a93454a0,,,,,,,,,,,
