source_id,source_name,filename,page,year,region,country,metric,value,unit,scenario,quote,note,confidence
2604_06198v1,Concentrated siting of AI data centers drives regional,2604.06198v1.pdf,22,2030,global,,total_electricity_demand_twh,295.0,TWh,low,"and that legacy loads follow empirically observed footprints. 10) Cross-validation Aggregate electricity consumption by the six leading hyperscale operators is projected to rise from approximately 118 TWh in 2024 to 239–295 TWh by 2030. This projection is broadly consistent with the International Energy Agency’s (IEA) estimate that global data-center electricity demand will reach roughly 945 TWh by 2030 (IEA, 2025). To benchmark the modelled v",Extracted from text; review source page before publication.,low
2604_06198v1,Concentrated siting of AI data centers drives regional,2604.06198v1.pdf,22,2030,global,,total_electricity_demand_twh,945.0,TWh,base,"o rise from approximately 118 TWh in 2024 to 239–295 TWh by 2030. This projection is broadly consistent with the International Energy Agency’s (IEA) estimate that global data-center electricity demand will reach roughly 945 TWh by 2030 (IEA, 2025). To benchmark the modelled values, we derive an implied 2030 consumption level for the six leading firms based on the IEA’s global forecast. Assuming (i) that hyper- scaledatacentresaccountfor70%ofgl",Extracted from text; review source page before publication.,low
2604_06198v1,Concentrated siting of AI data centers drives regional,2604.06198v1.pdf,22,2030,global,,total_electricity_demand_twh,945.0,TWh,base,"baldata-centreelectricityuse(SynergyResearchGroup,2024), and (ii) that the top six operators collectively represent 40% of hyperscale activity, the corresponding implied electricity consumption is: Esix-firms,IEA-based =945 TWh×0.70×0.40=264.6 TWh≈265 TWh. 2030 This cross-validation demonstrates that the projected range of 239–295 TWh lies well within the values implied by independent international forecasts. The close correspondence reinforce",Extracted from text; review source page before publication.,low
2604_06198v1,Concentrated siting of AI data centers drives regional,2604.06198v1.pdf,22,2030,global,,total_electricity_demand_twh,264.6,TWh,base,"tricityuse(SynergyResearchGroup,2024), and (ii) that the top six operators collectively represent 40% of hyperscale activity, the corresponding implied electricity consumption is: Esix-firms,IEA-based =945 TWh×0.70×0.40=264.6 TWh≈265 TWh. 2030 This cross-validation demonstrates that the projected range of 239–295 TWh lies well within the values implied by independent international forecasts. The close correspondence reinforces confidence in the",Extracted from text; review source page before publication.,low
2604_06198v1,Concentrated siting of AI data centers drives regional,2604.06198v1.pdf,22,2030,global,,total_electricity_demand_twh,265.0,TWh,base,"(SynergyResearchGroup,2024), and (ii) that the top six operators collectively represent 40% of hyperscale activity, the corresponding implied electricity consumption is: Esix-firms,IEA-based =945 TWh×0.70×0.40=264.6 TWh≈265 TWh. 2030 This cross-validation demonstrates that the projected range of 239–295 TWh lies well within the values implied by independent international forecasts. The close correspondence reinforces confidence in the represen",Extracted from text; review source page before publication.,low
2604_06198v1,Concentrated siting of AI data centers drives regional,2604.06198v1.pdf,22,2030,global,,total_electricity_demand_twh,295.0,TWh,base,"resent 40% of hyperscale activity, the corresponding implied electricity consumption is: Esix-firms,IEA-based =945 TWh×0.70×0.40=264.6 TWh≈265 TWh. 2030 This cross-validation demonstrates that the projected range of 239–295 TWh lies well within the values implied by independent international forecasts. The close correspondence reinforces confidence in the representativenessofthemodelledglobaltotalsandsupportsthecredibilityoftheupper-boundscena",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,14,2030,,United States,data_center_electricity_demand_twh,945.0,TWh,estimate,"sector accounts for substantial shares of electricity consumption in local markets. Electricity demand for data centres more than doubles by 2030 Data centre electricity consumption is set to more than double to around 945 TWh by 2030. This is slightly more than Japan’s total electricity consumption today. AI is the most important driver of this growth, alongside growing demand for other digital services. The United States accounts for by far",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,14,2035,global,,data_center_electricity_demand_twh,1200.0,TWh,base,"production of aluminium, steel, cement, chemicals and all other energy-intensive goods combined. Uncertainties widen further after 2030, but our Base Case sees global data centre electricity consumption rising to around 1 200 TWh by 2035. A diverse range of sources will be needed to meet demand Renewables and natural gas take the lead in meeting data centre electricity demand, but a range of sources are poised to contribute. Half of the global g",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,14,2035,global,,electricity_generation_twh,450.0,TWh,estimate,"range of sources are poised to contribute. Half of the global growth in data centre demand is met by renewables, supported by storage and the broader electricity grid. Renewables generation is projected to grow by over 450 TWh to meet data centre demand to 2035, building on short lead times, economic competitiveness and the procurement strategies of tech companies. Dispatchable sources, led by natural gas, also have a crucial role to play, wi",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,15,2035,global,,data_center_electricity_demand_twh,1700.0,TWh,base,"AI- related hardware and AI models. In this case, electricity demand from data centres is 20% lower in 2035 than in the Base Case. By 2035, the range of data centre electricity demand across our cases spans from 700 to 1 700 TWh. The increase in gas-fired power to meet data Executive Summary 15 .0.4 YB CC .AEI",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,40,2023,global,,data_center_electricity_demand_twh,20.0,TWh,high,"tt hours (TWh) of electricity per year (Greenpeace, 2023), equivalent to around 1% of global industrial electricity demand. However, the impact is much higher in certain geographies: for example, TSMC consumed more than 20 TWh in 2023, which accounted for almost 10% of electricity consumption in Chinese Taipei. Most semiconductors are used for other purposes, but data centres and especially AI are expected to be the key drivers of semiconduct",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,41,2024,global,,total_electricity_demand_twh,0.00043,TWh,historical,"charging stations. It is estimated that GPT-4 was trained for around 14 weeks. Taking a load factor of 84% (Shehabi, et al., 2024), this results in a training energy demand of around 42.4 gigawatt hours (GWh), or around 0.43 GWh per day of training. This is equivalent to the daily electricity consumption of around 28 500 households in advanced economies, or 70 500 households in emerging market and developing economies. After training, models ma",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,42,2024,global,,total_electricity_demand_twh,0.31,TWh,historical,"hese values by a load factor of 84% (Shehabi, et al., 2024). Calculated this way, the largest AI model in this dataset had a maximum training power draw of around 154 MW4 and a training electricity consumption of around 310 GWh.  We then used this data to fit a statistical relationship between training compute intensity and training electricity intensity. We used this relationship to model the electricity consumption of models in the EpochAI",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,48,2023,global,,data_center_electricity_demand_twh,100.0,TWh,base,"and from data centres, driven in particular by AI, is projected to grow by several hundred TWh (see Chapter 2). This box tries to answer the question: how much inference demand for generative AI would it take to consume 100 TWh of electricity? For reference, in 2023, the largest four hyperscalers (Google, Amazon, Meta and Microsoft) had a combined data centre electricity consumption in the order of 90 TWh.  A large language model, with optimi",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,48,2023,global,,data_center_electricity_demand_twh,90.0,TWh,base,"enerative AI would it take to consume 100 TWh of electricity? For reference, in 2023, the largest four hyperscalers (Google, Amazon, Meta and Microsoft) had a combined data centre electricity consumption in the order of 90 TWh.  A large language model, with optimised implementation, could generate more than 4 250 trillion words of output with 100 TWh of input. For comparison, this is equivalent to around 110 million copies of the Encyclopaed",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,48,2024,global,,electricity_generation_twh,100.0,TWh,historical,"the Encyclopaedia Britannica.  An image generation model could generate around 55 trillion images with around 100 TWh of input.  A video generation model could generate in the order of 950 million hours of videos with 100 TWh of input. To put this in perspective, Netflix viewers streamed around 94 billion hours of content in the second half of 2024. These numbers provide rough orders of magnitude of the scale of generative AI outputs that co",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,48,2024,global,,total_electricity_demand_twh,100.0,TWh,high,"s in perspective, Netflix viewers streamed around 94 billion hours of content in the second half of 2024. These numbers provide rough orders of magnitude of the scale of generative AI outputs that could be produced with 100 TWh of electricity input. They highlight that this scale of generative-AI driven electricity demand is plausible once multimodal outputs are stacked together (text, image, video). These estimates should be seen as rough app",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,48,2023,global,,data_center_electricity_demand_twh,100.0,TWh,base,"om data centres, driven in particular by AI, is | projected to grow by several hundred TWh (see Chapter 2). This box tries to answer the | question: how much inference demand for generative AI would it take to consume | 100 TWh of electricity? For reference, in 2023, the largest four hyperscalers (Google, | Amazon, Meta and Microsoft) had a combined data centre electricity consumption in the | order of 90 TWh. |  A large language model, with",Extracted from table; review source page before publication.,medium
energyandai,Energy and AI,EnergyandAI.pdf,48,2023,global,,data_center_electricity_demand_twh,90.0,TWh,base,"ive AI would it take to consume | 100 TWh of electricity? For reference, in 2023, the largest four hyperscalers (Google, | Amazon, Meta and Microsoft) had a combined data centre electricity consumption in the | order of 90 TWh. |  A large language model, with optimised implementation, could generate more than | 4 250 trillion words of output with 100 TWh of input. For comparison, this is | equivalent to around 110 million copies of the Encyc",Extracted from table; review source page before publication.,medium
energyandai,Energy and AI,EnergyandAI.pdf,48,2024,global,,electricity_generation_twh,100.0,TWh,historical,"clopaedia Britannica. |  An image generation model could generate around 55 trillion images with around | 100 TWh of input. |  A video generation model could generate in the order of 950 million hours of videos | with 100 TWh of input. To put this in perspective, Netflix viewers streamed around | 94 billion hours of content in the second half of 2024. | These numbers provide rough orders of magnitude of the scale of generative AI outputs | t",Extracted from table; review source page before publication.,medium
energyandai,Energy and AI,EnergyandAI.pdf,48,2024,global,,total_electricity_demand_twh,100.0,TWh,high,"erspective, Netflix viewers streamed around | 94 billion hours of content in the second half of 2024. | These numbers provide rough orders of magnitude of the scale of generative AI outputs | that could be produced with 100 TWh of electricity input. They highlight that this scale | of generative-AI driven electricity demand is plausible once multimodal outputs are | stacked together (text, image, video). These estimates should be seen as rough",Extracted from table; review source page before publication.,medium
energyandai,Energy and AI,EnergyandAI.pdf,49,2030,global,,data_center_electricity_demand_twh,945.0,TWh,base,"Efficiency and Headwinds) capture uncertainties in efficiency improvements in hardware and software, AI uptake and energy sector bottlenecks. • In the Base Case, electricity consumption from data centres rises to around 945 TWh by 2030, more than doubling from the 2024 level. The United States sees by far the largest absolute growth, followed by China and Europe. Data centres still account for less than 10% of the growth in global electricity",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,49,2030,global,,data_center_electricity_demand_twh,1260.0,TWh,low,"unt for less than 10% of the growth in global electricity consumption to 2030. • The Lift-Off Case assumes stronger AI uptake and limited local constraints on data centre buildout. In this case, consumption reaches over 1 260 TWh by 2030. The High Efficiency Case is driven by energy savings in both software and hardware; consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches around 670 TWh. By 2035, the spread of uncertain",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,49,2030,global,,data_center_electricity_demand_twh,800.0,TWh,low,"limited local constraints on data centre buildout. In this case, consumption reaches over 1 260 TWh by 2030. The High Efficiency Case is driven by energy savings in both software and hardware; consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches around 670 TWh. By 2035, the spread of uncertainty widens further, spanning 700 TWh to 1 720 TWh across the four cases. • Natural gas generation to meet data centre demand incr",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,global,,data_center_electricity_demand_twh,670.0,TWh,low,"case, consumption reaches over 1 260 TWh by 2030. The High Efficiency Case is driven by energy savings in both software and hardware; consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches around 670 TWh. By 2035, the spread of uncertainty widens further, spanning 700 TWh to 1 720 TWh across the four cases. • Natural gas generation to meet data centre demand increases by around 175 TWh from today’s level to 2035 in the",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,data_center_electricity_demand_twh,700.0,TWh,base,"y Case is driven by energy savings in both software and hardware; consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches around 670 TWh. By 2035, the spread of uncertainty widens further, spanning 700 TWh to 1 720 TWh across the four cases. • Natural gas generation to meet data centre demand increases by around 175 TWh from today’s level to 2035 in the Base Case, mostly concentrated in the United States. In the Lift-Off",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,data_center_electricity_demand_twh,1720.0,TWh,base,"riven by energy savings in both software and hardware; consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches around 670 TWh. By 2035, the spread of uncertainty widens further, spanning 700 TWh to 1 720 TWh across the four cases. • Natural gas generation to meet data centre demand increases by around 175 TWh from today’s level to 2035 in the Base Case, mostly concentrated in the United States. In the Lift-Off Case, it grow",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,electricity_generation_twh,175.0,TWh,base,"Headwinds Case, it reaches around 670 TWh. By 2035, the spread of uncertainty widens further, spanning 700 TWh to 1 720 TWh across the four cases. • Natural gas generation to meet data centre demand increases by around 175 TWh from today’s level to 2035 in the Base Case, mostly concentrated in the United States. In the Lift-Off Case, it grows by 290 TWh. Renewables provide the largest contribution to meet data centre demand, increasing by 450",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,electricity_generation_twh,290.0,TWh,base,"ss the four cases. • Natural gas generation to meet data centre demand increases by around 175 TWh from today’s level to 2035 in the Base Case, mostly concentrated in the United States. In the Lift-Off Case, it grows by 290 TWh. Renewables provide the largest contribution to meet data centre demand, increasing by 450 TWh to 2035 in the Base Case. This reflects their broad availability, short development times, economic competitiveness and tech",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,49,2030,global,,data_center_electricity_demand_twh,945.0,TWh,base,"ciency and Headwinds) capture uncertainties in efficiency improvements in | hardware and software, AI uptake and energy sector bottlenecks. | • In the Base Case, electricity consumption from data centres rises to around 945 TWh | by 2030, more than doubling from the 2024 level. The United States sees by far the | largest absolute growth, followed by China and Europe. Data centres still account for | less than 10% of the growth in global electr",Extracted from table; review source page before publication.,medium
energyandai,Energy and AI,EnergyandAI.pdf,49,2030,global,,total_electricity_demand_twh,1260.0,TWh,low,"r | less than 10% of the growth in global electricity consumption to 2030. | • The Lift-Off Case assumes stronger AI uptake and limited local constraints on data | centre buildout. In this case, consumption reaches over 1 260 TWh by 2030. The High | Efficiency Case is driven by energy savings in both software and hardware; | consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches | around 670 TWh. By 2035, the spread of unc",Extracted from table; review source page before publication.,medium
energyandai,Energy and AI,EnergyandAI.pdf,49,2030,global,,data_center_electricity_demand_twh,800.0,TWh,low,"d local constraints on data | centre buildout. In this case, consumption reaches over 1 260 TWh by 2030. The High | Efficiency Case is driven by energy savings in both software and hardware; | consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches | around 670 TWh. By 2035, the spread of uncertainty widens further, spanning | 700 TWh to 1 720 TWh across the four cases. | • Natural gas generation to meet data centre deman",Extracted from table; review source page before publication.,medium
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,global,,data_center_electricity_demand_twh,670.0,TWh,low,"consumption reaches over 1 260 TWh by 2030. The High | Efficiency Case is driven by energy savings in both software and hardware; | consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches | around 670 TWh. By 2035, the spread of uncertainty widens further, spanning | 700 TWh to 1 720 TWh across the four cases. | • Natural gas generation to meet data centre demand increases by around 175 TWh | from today’s level to 2035 i",Extracted from table; review source page before publication.,medium
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,data_center_electricity_demand_twh,700.0,TWh,base,"is driven by energy savings in both software and hardware; | consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches | around 670 TWh. By 2035, the spread of uncertainty widens further, spanning | 700 TWh to 1 720 TWh across the four cases. | • Natural gas generation to meet data centre demand increases by around 175 TWh | from today’s level to 2035 in the Base Case, mostly concentrated in the United States. | In the Lif",Extracted from table; review source page before publication.,medium
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,data_center_electricity_demand_twh,1720.0,TWh,base,"by energy savings in both software and hardware; | consumption reaches around 800 TWh by 2030. In the Headwinds Case, it reaches | around 670 TWh. By 2035, the spread of uncertainty widens further, spanning | 700 TWh to 1 720 TWh across the four cases. | • Natural gas generation to meet data centre demand increases by around 175 TWh | from today’s level to 2035 in the Base Case, mostly concentrated in the United States. | In the Lift-Off Case, i",Extracted from table; review source page before publication.,medium
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,electricity_generation_twh,175.0,TWh,base,"inds Case, it reaches | around 670 TWh. By 2035, the spread of uncertainty widens further, spanning | 700 TWh to 1 720 TWh across the four cases. | • Natural gas generation to meet data centre demand increases by around 175 TWh | from today’s level to 2035 in the Base Case, mostly concentrated in the United States. | In the Lift-Off Case, it grows by 290 TWh. Renewables provide the largest contribution | to meet data centre demand, increasing",Extracted from table; review source page before publication.,medium
energyandai,Energy and AI,EnergyandAI.pdf,49,2035,,United States,electricity_generation_twh,290.0,TWh,base,"four cases. | • Natural gas generation to meet data centre demand increases by around 175 TWh | from today’s level to 2035 in the Base Case, mostly concentrated in the United States. | In the Lift-Off Case, it grows by 290 TWh. Renewables provide the largest contribution | to meet data centre demand, increasing by 450 TWh to 2035 in the Base Case. This | reflects their broad availability, short development times, economic competitiveness | an",Extracted from table; review source page before publication.,medium
energyandai,Energy and AI,EnergyandAI.pdf,57,2024,global,,data_center_electricity_demand_twh,180.0,TWh,historical,"or around 85% of global electricity consumption from data centres today. In the United States, electricity consumption from data centres grew by around 12% a year between 2015 and 2024. Data centres accounted for around 180 TWh of electricity consumption in 2024 in the United States, nearly 45% of the global total and more than 4% of US electricity consumption from all sources (Figure 2.6). In China, the data centre sector started to expand si",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,57,2015,global,,data_center_electricity_demand_twh,100.0,TWh,historical,"15 and 2024, more than twice the rate seen between 2005 and 2015. Over the same period, electricity consumption across all sectors grew at an annual rate of around 7%. As of today, data centres account for approximately 100 TWh of electricity consumption, roughly equivalent to that of electric vehicles in China. The country accounts for around 25% of global data centre electricity consumption, up from less than 20% a decade ago. However, subst",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,58,2024,global,,data_center_electricity_demand_twh,70.0,TWh,low,"extent, by China Data centres account for slightly less than 2% of Europe’s electricity consumption, a share that is higher than China’s (1.1%). However, in absolute terms, Europe’s consumption is lower, at an estimated 70 TWh in 2024. Europe’s share of the global electricity consumption of data centres has decreased over the past decade but still represents slightly above 15%. In Japan, we estimate that data centres account for less than 20",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,58,2024,global,,data_center_electricity_demand_twh,20.0,TWh,historical,"TWh in 2024. Europe’s share of the global electricity consumption of data centres has decreased over the past decade but still represents slightly above 15%. In Japan, we estimate that data centres account for less than 20 TWh of electricity consumption (about 2% of Japan’s total consumption, on a par with Europe). We estimate that data centres account for around 9 TWh of consumption in India (Box 2.2), or about 0.5% of total consumption. How",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,58,2024,,India,data_center_power_demand_gw,2.0,GW,historical,"ues that year. India is also home to around 950 million Internet users. Spurred by data localisation requirements in some sectors, India is now emerging as a rapidly growing data centre market. As of June 2024 India had 2 GW of total installed data centre capacity in operation, together consuming electricity equivalent to 6.5 million Indian households. India’s total installed data centre capacity has doubled in only four years, and over 2 G",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,58,2030,,India,data_center_power_demand_gw,2.0,GW,estimate,"GW of total installed data centre capacity in operation, together consuming electricity equivalent to 6.5 million Indian households. India’s total installed data centre capacity has doubled in only four years, and over 2 GW of further maximum designed capacity is in the pipeline and planned to come online over the next two years. This means that total installed capacity is on track to reach nearly 5 GW by 2030 (Figure 2.7). The government’",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,58,2024,,India,data_center_power_demand_gw,2.0,GW,historical,"that year. India is also home to around 950 million | Internet users. Spurred by data localisation requirements in some sectors, India is now | emerging as a rapidly growing data centre market. As of June 2024 India had 2 GW of | total installed data centre capacity in operation, together consuming electricity | equivalent to 6.5 million Indian households. India’s total installed data centre capacity | has doubled in only four years, and ov",Extracted from table; review source page before publication.,medium
energyandai,Energy and AI,EnergyandAI.pdf,58,2030,,India,data_center_power_demand_gw,2.0,GW,estimate,"| total installed data centre capacity in operation, together consuming electricity | equivalent to 6.5 million Indian households. India’s total installed data centre capacity | has doubled in only four years, and over 2 GW of further maximum designed capacity is | in the pipeline and planned to come online over the next two years. This means that total | installed capacity is on track to reach nearly 5 GW by 2030 (Figure 2.7). | The gover",Extracted from table; review source page before publication.,medium
energyandai,Energy and AI,EnergyandAI.pdf,60,2024,global,,data_center_electricity_demand_twh,250.0,TWh,historical,"l growth in electricity consumption between 2014 and 2024. However, other drivers, such as growing appliance adoption in buildings and industrial electrification, were more significant. Data centres accounted for around 250 TWh of incremental electricity consumption in this period, roughly equivalent to the electricity demand of Spain. In comparison, the electricity consumption of space cooling grew by around 700 TWh (Figure 2.8). Figure 2.8 I",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,60,2014,global,,total_electricity_demand_twh,700.0,TWh,base,"ntres accounted for around 250 TWh of incremental electricity consumption in this period, roughly equivalent to the electricity demand of Spain. In comparison, the electricity consumption of space cooling grew by around 700 TWh (Figure 2.8). Figure 2.8 Increase in electricity demand by sector in the Base Case, 2014-2024 ⊳ Industry excl. heavy industry Appliances Space cooling Heavy industry Space and water heating Electric transport Data centr",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,60,2024,global,,data_center_electricity_demand_twh,2000.0,TWh,base,"Increase in electricity demand by sector in the Base Case, 2014-2024 ⊳ Industry excl. heavy industry Appliances Space cooling Heavy industry Space and water heating Electric transport Data centres Other 500 1 000 1 500 2 000 TWh IEA. CC BY 4.0. Over the past decade, growth in electricity demand for data centres increased by almost as much as for transport All historical data are estimates, not measurements Currently, very few governments mandat",Extracted from text; review source page before publication.,low
energyandai,Energy and AI,EnergyandAI.pdf,62,2030,asia_pacific,,data_center_power_demand_gw,100.0,GW,base,"ch servers can cross the 10 kilowatt (kW) mark; in comparison, the rated power of servers with two accelerators is below 2 kW. In the Base Case, the total installed capacity of data centres more than doubles from around 100 GW today to around 225 GW in 2030. The total capacity of accelerated servers grows by almost five times, compared to an increase of 1.8 times for conventional servers.  Cooling efficiency continues to improve in the Base",Extracted from text; review source page before publication.,low
